link;categ
http://g1.globo.com/sp/ribeirao-preto-franca/noticia/2017/01/governo-libera-pre-custeio-agricola-de-r-12-bilhoes-com-juros-de-ate-95.html;agro
http://g1.globo.com/economia/agronegocios/noticia/temer-anunciara-r-12-bilhoes-nesta-quinta-para-pre-custeio-da-safra-agricola.ghtml;agro
http://g1.globo.com/economia/agronegocios/noticia/temer-diz-a-agencia-que-vai-liberar-r-12-bilhoes-para-pre-custeio-da-safra-agricola.ghtml;agro
http://g1.globo.com/economia/agronegocios/noticia/producao-quinzenal-de-acucar-e-etanol-do-centro-sul-despenca-com-safra-terminando.ghtml;agro
http://g1.globo.com/economia/agronegocios/noticia/etanol-sobe-em-14-estados-e-no-df-cai-em-9-e-fica-estavel-no-ap-pe-e-to-diz-anp.ghtml;agro
http://g1.globo.com/economia/negocios/noticia/vale-vende-ativos-de-fertilizantes-e-adquire-fatia-da-mosaic.ghtml;agro
http://g1.globo.com/sp/piracicaba-regiao/noticia/2016/12/usp-de-piracicaba-ira-realizar-feira-semelhante-agrishow-em-2017.html;agro
http://g1.globo.com/economia/agronegocios/noticia/abate-de-suinos-e-producao-de-ovos-e-recorde-no-3-trimestre.ghtml;agro
http://g1.globo.com/economia/midia-e-marketing/noticia/mcdonalds-tera-salada-com-vegetais-organicos-no-brasil-em-2017.ghtml;agro
http://g1.globo.com/economia/agronegocios/agro-a-industria-riqueza-do-brasil/noticia/2017/01/tilapia-e-o-tipo-de-peixe-mais-produzido-no-brasil.html;agro
http://g1.globo.com/economia/agronegocios/noticia/exportacao-de-carne-de-frango-do-brasil-cresce-com-ajuda-da-china-20161213194009051152.ghtml;agro
http://g1.globo.com/sp/sao-carlos-regiao/noticia/2016/12/calor-diminui-produtividade-e-afeta-safra-de-laranja-aponta-fundecitrus.html;agro
http://g1.globo.com/economia/agronegocios/noticia/exportadores-de-carne-bovina-do-projetam-leve-recuperacao-em-2017.ghtml;agro
http://g1.globo.com/sp/sao-carlos-regiao/noticia/2016/12/embrapa-usa-homeopatia-para-evitar-mortes-de-bezerros-por-diarreia.html;agro
http://g1.globo.com/sp/piracicaba-regiao/noticia/2016/12/piracicaba-tem-38-das-startups-de-agronegocio-do-estado-de-sao-paulo.html;agro
http://g1.globo.com/economia/agronegocios/noticia/fao-indice-de-precos-de-alimentos-recua-04-em-novembro-pressionado-por-acucar.ghtml;agro
